Store Name,Suburb,Address,Postcode,State,SiteDataID,latitude,longitude,Key Facilities
Grey Lynn Woolworths,"Grey Lynn, Auckland",271 Richmond Rd,1022,AUK,1906063,-36.8546,174.7318,"ATM, Fresh flowers, Rug Doctor, Scan and go, Soft plastic recycling"
Ponsonby Woolworths,Ponsonby,4 Williamson Ave,1021,AUK,1996677,-36.8585,174.7489,"Fresh flowers, Rug Doctor, Scan and go, Soft plastic recycling"
St Johns Woolworths,St Johns,130-140 Felton Mathew Avenue,1072,AUK,1906087,-36.8794,174.852,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Howick Woolworths,Howick,35 Cook St,2014,AUK,1237277,-36.8959,174.9328,"Fresh flowers, Rug Doctor, Supergold card"
Metro Herne Bay,Herne Bay,1 Kelmarna Avenue,1011,AUK,null,-36.8465,174.7335,None listed
Westgate Woolworths,Massey,"Westgate Shopping Centre, Cnr Westgate & Fern Hill Drive",614,AUK,592572,-36.8209,174.6141,"ATM, Fresh flowers, Rug Doctor"
Northwest Woolworths,"Westgate, Massey","7 Fred Taylor Drive, Northwest Town Centre",814,AUK,1230704,-36.8197,174.6113,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Metro Auckland Victoria Street West,Auckland,19-25 Victoria Street,1010,AUK,882226,-36.8486,174.7647,"Fresh flowers, Rug Doctor"
Metro Halsey Street,Auckland Central,"104 Pakenham Street West,Auckland Central 1010",1010,AUK,null,-36.8432,174.7554,Fresh flowers
Metro Albert Street Woolworths,Auckland,"AMP Centre, Ground Floor",1010,AUK,null,-36.8436,174.7654,None listed
Auckland City Woolworths,Auckland,76 Quay Street,1010,AUK,1906035,-36.845,174.773,"Fresh flowers, Rug Doctor, Scan and go, Soft plastic recycling"
Beachlands Woolworths,Beachlands,129 Beachlands Rd,2018,AUK,1109324,-36.8898,175.0083,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Hobsonville Woolworths,Hobsonville,124 Hobsonville Road,618,AUK,1223854,-36.7974,174.6474,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Birkenhead Woolworths,Birkenhead,Cnr Highbury Pass & Birkenhead Ave,626,AUK,2124460,-36.8113,174.7248,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Northcote Woolworths,Northcote,Pearn Crescent,627,AUK,2124747,-36.8003,174.7448,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Glenfield Woolworths,Glenfield,"Glenfield Mall, Bentley Ave",629,AUK,1190273,-36.7818,174.7229,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Takapuna Woolworths,Takapuna,Barry's Point Road,0622,AUK,1229219,-36.7913,174.7655,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Milford Woolworths,Milford,"Milford Shopping Centre, Milford Rd",620,AUK,473644,-36.772,174.7661,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Sunnynook Woolworths,Sunnynook,Cnr Sycamore Dr & Sunnynook Rd,620,AUK,1231998,-36.759,174.7408,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Mairangi Bay Woolworths,Mairangi Bay,3 Ramsgate Terrace,630,AUK,2373714,-36.739,174.7526,"Fresh flowers, Rug Doctor"
Greville Road Woolworths,Pinehill,65 Greville Road,632,AUK,3105636,-36.7309,174.7222,"Fresh Bakery, Liquor, Scan and go, Seafood"
Helensville Woolworths,Helensville,43 Commercial Road,800,AUK,870058,-36.6772,174.4506,"Fresh flowers, Rug Doctor, Soft plastic recycling"
Waiheke Island Woolworths,Ostend,"13 - 19 Belgium St, Waiheke Island",1081,AUK,4156860,-36.795,175.0459,"ATM, EV Charging, Fresh flowers, Rug Doctor, Soft plastic recycling"
Browns Bay Woolworths,Browns Bay,Cnr Anzac & Clyde Rds,630,AUK,2683184,-36.7175,174.7474,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Whangaparaoa Woolworths,Whangaparaoa,Cnr Whangaparaoa & Wade Drive,943,AUK,1248095,-36.6365,174.7466,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Silverdale Woolworths,Silverdale,40 Hibiscus Coast Highway,932,AUK,2673963,-36.6139,174.6807,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Orewa Woolworths,Orewa,Moenui Avenue,931,AUK,1225662,-36.5883,174.6961,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Whitianga Woolworths,Whitianga,24 Joan Gaskell Drive,3510,WKO,2791350,-36.8337,175.6944,"Fresh flowers, Rug Doctor"
Alexandra Woolworths,Alexandra,106 Centennial Avenue,9320,OTA,3496448,-45.2491,169.3853,"Fresh Bakery, Liquor, Seafood"
Queenstown Woolworths,"Frankton, Queenstown",30 Grant Rd,9300,OTA,2811065,-45.0136,168.7418,"Fresh flowers, Rug Doctor"
Warkworth Woolworths,Warkworth,20 - 26 Neville Street,910,AUK,1716255,-36.3995,174.6643,"Fresh flowers, Rug Doctor, Supergold card"
Dunedin Central Woolworths,Dunedin,309 Cumberland Street,9016,OTA,1226961,-45.8742,170.5064,"ATM, Fresh flowers, Rug Doctor, Supergold card"
Mailer St Woolworths,Dunedin,43 Mailer Street,9011,OTA,2655603,-45.881,170.4796,"Fresh flowers, Rug Doctor"
Dunedin South Woolworths,Dunedin,323 Andersons Bay Road,9012,OTA,2791790,-45.8926,170.5027,"Fresh flowers, Rug Doctor"
Andersons Bay Woolworths,Dunedin,560 Andersons Bay Road,9012,OTA,2810973,-45.8967,170.5092,"ATM, Fresh flowers, Rug Doctor"
Mosgiel Woolworths,"Mosgiel, Dunedin",55 Gordon Rd,9024,OTA,2791816,-45.8806,170.3519,"Fresh flowers, Rug Doctor, Supergold card"
Dargaville Woolworths,Dargaville,"Dargaville Plaza, Victoria St",310,NTL,2683237,-35.9394,173.8729,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Balclutha Woolworths,Balclutha,8 - 12 Clyde Street,9230,OTA,3274314,-46.2369,169.7408,"Liquor, Seafood"
Whangarei Woolworths,Whangarei,"Whangarei Retail Centre, Okara Drive",110,NTL,2686464,-35.7308,174.3273,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling"
Regent Woolworths,"Regent, Whangarei",11 Kamo Road,112,NTL,727699,-35.7146,174.3227,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Tikipunga Woolworths,"Tikipunga, Whangarei",Cnr Paramount Parade & Wanaka St,112,NTL,1225046,-35.6832,174.321,"ATM, Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Gore Woolworths,Gore,24 Medway Street,9710,STL,2810884,-46.0985,168.9441,"ATM, Rug Doctor"
Kaikohe Woolworths,Kaikohe,37 Station Road,405,NTL,1235338,-35.4099,173.7978,"Fresh flowers, Rug Doctor, Soft plastic recycling, Supergold card"
Waitangi Woolworths,Paihia,9 Puketona Road,204,NTL,1488276,-35.2792,174.0813,"Fresh flowers, Rug Doctor"
Kerikeri Woolworths,Kerikeri,Cnr Kerikeri & Butler Rds,230,NTL,2673967,-35.2291,173.9459,"Fresh flowers, Rug Doctor, Supergold card"
Waikiwi Woolworths,"Waikiwi, Invercargill",Cnr North Road & Durham Street,9810,STL,1488549,-46.3751,168.3471,"Fresh flowers, Rug Doctor"
Invercargill Woolworths,Invercargill,172 Tay Street,9810,STL,1799246,-46.4122,168.3582,"ATM, Fresh flowers, Rug Doctor, Supergold card"
